"","RESP_teg","RESP_gil","RESP_pls","RESP_spi","RESP_ves","LCD_short","LCD_long","RLC_sev","RLC_unv","RLC_mlt","RLC_flx","REP_ovo","REP_fie","REP_cie","REP_fic","REP_frc","REP_vec","REP_tec","REP_ase","BodSz_0.25","BodSz_0.25_0.5","BodSz_0.5_1","BodSz_1_2","BodSz_2_4","BodSz_4_8","BodSz_8_","Feed_Gra","Feed_Min","Feed_Xyl","Feed_Shr","Feed_Gat","Feed_Aff","Feed_Pff","Feed_Pre","Feed_Par"
"V3_2016",0.238981029586125,0.75367069236496,0,0.00734827804891499,0,0.894111726914275,0.105888273085725,0.0128698265640941,0.301482752915874,0.685647420520032,0,0.0205889651749524,0.0441206882289685,0.00183706951222875,0.328184943153096,0.286027242396669,0.29105545904909,0.0281856324849955,0,0.0036741390244575,0.366418047628239,0.401954945267047,0.178932178932179,0.0343103464122572,0,0.0147103427358204,0.352941379215265,0.0404396558855158,0,0.0655646547366293,0.36028965726418,0.0245126423470372,0,0.148903732502459,0.00734827804891499
"VI1_2016",0.573804889373025,0.359533205950106,0.0666619046768692,0,0,0.737967004512836,0.262032995487164,0.116189574813836,0.424748656226004,0.45906176896016,0,0.0247611564492223,0,0.0222206348922897,0.410464472579868,0.250486020583701,0.29206771549492,0,0,0.0111103174461449,0.201908962660048,0.296507675732305,0.410321315261582,0.069041411453776,0.0111103174461449,0,0.20714357994488,0.0261924320077144,0,0.0992041524551034,0.245239498324375,0.0539637612576415,0,0.333333333333333,0.0349232426769526
"VI2_2016",0.713106691666923,0.286893308333077,0,0,0,0.746841668459718,0.253158331540282,0.182792856484185,0.544812446848841,0.272394696666974,0,0,0,0.125677517187676,0.180319470486378,0.103822785069519,0.584719105728542,0,0.00546112152788451,0,0.0491808317708173,0.237702230555641,0.680339962499616,0.0163936105902724,0,0.0163833645836535,0.0710355638889743,0,0,0.0218547321181569,0.251360157378662,0,0.00819168229182676,0.64755786432238,0
"VI3_2016",0.767881060809001,0.232118939190999,0,0,0,0.742820787570319,0.257179212429681,0,0.383951692115367,0.616048307884632,0,0.14998660594696,0.1071356817573,0.0357174747745334,0.310748727564961,0.247597999821413,0.0416666666666667,0.0357118939190999,0.0714349495490669,0,0.1428475756764,0.2202317171176,0.375,0.0476158585587999,0,0.214304848647201,0.2113079292794,0,0,0.0684603536030003,0.479188990088401,0.00892378783819984,0,0.1964237878382,0.0356951513527994
"I1_2017",0.904996435746225,0.0950035642537749,0,0,0,0.531268226297712,0.468731773702288,0.00690817186183656,0.331283347374333,0.66180848076383,0,0.0207374765083274,0.0172704296545914,0.0979089711187436,0.202860043635107,0.540286868425032,0.120936210658199,0,0,0,0.028784049424319,0.178180286436394,0.442388698075303,0.212397122675134,0.138249843388849,0,0.0942961138833085,0,0,0.0223143887844815,0.630003456246085,0.0201488345970233,0.0086352148272957,0.224601991661806,0
"I2_2017",0.827162137135978,0.148137645261355,0,0.0247002176026668,0,0.629612482059355,0.370387517940645,0.00246770683827955,0.246508326002747,0.738685432967576,0.0123385341913978,0.083943701097273,0.0185193758970323,0.0555619858944087,0.170355880673488,0.568743923329784,0.0699492260444156,0.0082334058675556,0.024692501196043,0.00411284473046592,0.101874204934532,0.224986165585267,0.31922663968129,0.181065481426609,0.0946571600537062,0.0740775035881291,0.180041128447305,0,0,0.00719747827831535,0.568948022284982,0.0606953254008673,0,0.18311804558853,0
"I3_2017",0.749352467623381,0.226661333066653,0.00266513325666283,0.0213210660533027,0,0.599323716185809,0.400676283814191,0.0273226161308065,0.317086270980216,0.642265446605664,0.0133256662833142,0.0359992999649983,0.0777830558194576,0.102221777755554,0.174206210310516,0.506242812140607,0.083550010833875,0.0111047219027618,0.00889211127223028,0,0.102119510737442,0.184371599532358,0.402389167077401,0.182221611080554,0.102221777755554,0.0266763338166908,0.14777613880694,0,0,0.0211073053652683,0.472246528993116,0.0433417504208544,0,0.311086387652716,0.00444188876110472
"II1_2017",0.713201535428662,0.266664192689005,0.00138803167733081,0.0187462402050016,0,0.961103490763879,0.0388965092361213,0.0120131146857918,0.408890303830499,0.579096581483709,0,0.0627806988075428,0.0289560855944187,0.027084195970281,0.414575374286778,0.361047221723086,0.102641557095498,0.00291486652239471,0,0.00208204751599622,0.239237676336013,0.384029562730959,0.311114409747993,0.0593722086370466,0.00416409503199244,0,0.304164485660044,0.00138803167733081,0,0.0694432508587307,0.303470469821379,0.186806797969776,0.00208400065625513,0.132642963356485,0
"II2_2017",0.81666812505469,0.18333187494531,0,0,0,0.920818548552714,0.0791814514472864,0.0026650999412478,0.539669612610473,0.457665287448279,0,0.076002850106879,0.00333137492655975,0.00555229154426624,0.600445433370418,0.27134350871491,0.0433245413369668,0,0,0,0.179667779208387,0.254222450008542,0.383889395852344,0.182220374930727,0,0,0.332069446651868,0.00428632145134014,0,0.157621238177384,0.335400821578428,0.123177238194051,0,0.0464931125393393,0.000951821407588499
"II3_2017",0.79304667721519,0.199363132911392,0.000843354430379747,0.00674683544303798,0,0.815399920886076,0.184600079113924,0.0126582278481013,0.653730485232068,0.333611286919831,0,0.0839683544303798,0.022149920886076,0.0386787974683544,0.489030327004219,0.259981935654008,0.106190664556962,0,0,0,0.186915875527426,0.31729694092827,0.346700949367089,0.149086234177215,0,0,0.272853375527426,0,0,0.118146097046413,0.310830696202532,0.127282436708861,0,0.166667985232068,0.00421940928270042
